Project_id,Project name,Project link,VT link,VT detection result,Propogation link,Propogation method
93,medium,https://github.com/slacknation/medium,https://www.virustotal.com/gui/file/e5099b5607ab6116563171e8e4be50388461cb45339f55e5063d67e19a81c459/detection/,[0/57],,
94,UEJoystickPlugin,https://github.com/tsky1971/UEJoystickPlugin,https://www.virustotal.com/gui/file/4cffe8eba84bc9942e75d056c838661a17de44cb73b042ac90b5c2835c92e1c9/detection/,[0/58],,
95,scripts,https://github.com/alopatindev/scripts,https://www.virustotal.com/gui/file/e4c9c44d099baf2b2d1bd9e8f258a0897fe9c84127c96857b460fe5d49ea9fe5/detection/,[0/58],,
96,Android,https://github.com/IanDarwin/Android,N/A,Download Error,,
97,machine,https://github.com/machine/machine,https://www.virustotal.com/gui/file/99f6de165123892772b2dad1d26f4e6264e0639f469e3cb98eb9e35a9a17e8e4/detection/,[0/55],,
98,rescached,https://github.com/shuLhan/rescached,https://www.virustotal.com/gui/file/aab53eb08359c30fdbac799325acaa7a9ecd231a53521ddf7731f9c65618440a/detection/,[0/55],,
99,default,https://github.com/podrivo/default,https://www.virustotal.com/gui/file/275dbc2e99acd2dbbb4d29c419547cc67a6eb8daf52ac0a67d58dbec9a27ca8f/detection/,[0/55],,
100,code,https://github.com/sheabunge/code,N/A,Download Error,,
101,rdiscount,https://github.com/davidfstr/rdiscount,https://www.virustotal.com/gui/file/5c70af182507d602deea9128ee0fef78781ead35571342536f3470b76be4c9ba/detection/,[0/59],,
102,dsingleton,https://github.com/dsingleton/dsingleton,N/A,Download Error,,
103,jdependency,https://github.com/tcurdt/jdependency,https://www.virustotal.com/gui/file/eaab1e9750c091dfc10d3637e88c0726c5f40789b015db86bc14a0696b3d69bf/detection/,[0/58],,
104,eccount,https://github.com/prayagupd/eccount,N/A,Download Error,,
105,CyBerFuN,https://github.com/cybernet/CyBerFuN,N/A,Download Error,,
106,collections,https://github.com/osteele/collections,N/A,Download Error,,
107,flexirest,https://github.com/JacobOscarson/flexirest,https://www.virustotal.com/gui/file/d16865ea68a4f6490464c3377521024a7b00f4d9d9b202c488f9c85bcb5f3aec/detection/,[0/58],,
108,PixelMap,https://github.com/McTwist/PixelMap,https://www.virustotal.com/gui/file/30c2810d478cde041ebe487a958c0c5e7425207c704f4d86b38a12e747f4dba0/detection/,[0/58],,
109,gmaps,https://github.com/dotzero/gmaps,N/A,Download Error,,
110,servo,https://github.com/servo/servo,https://www.virustotal.com/gui/file/5ddfbf7d27235639f328b17e6afec2ae5425b287df646182ecfd217e620f6533/detection/,[0/39],,
111,GenderClassifier,https://github.com/ajomadlabs/GenderClassifier,https://www.virustotal.com/gui/file/ba790fed1f539695ece9ecef989a04b104b09007733c9742a3fda4cee085b330/detection/,[0/58],,
112,AjaxFileUpload,https://github.com/davgothic/AjaxFileUpload,https://www.virustotal.com/gui/file/00c068dddaadb6f5bb398a7fa6efd4e556aeaf89030eb2f284f3c155aacb49f2/detection/,[0/59],,
113,dotfiles,https://github.com/metakermit/dotfiles,https://www.virustotal.com/gui/file/0888926c0f1a7528f5ca5ef8077d23e48de0a348ace05d4bb7894c157af2db9e/detection/,[0/59],,
114,django,https://github.com/jcarbaugh/django,N/A,Download Error,,
115,MyPicoFaceDetectAndTrack,https://github.com/zhleternity/MyPicoFaceDetectAndTrack,https://www.virustotal.com/gui/file/e6c44c0b5495d8daeefb148fdd8fd09fefffbbec7aac6f66fe9efef8c9a6b718/detection/,[0/57],,
116,clickjane,https://github.com/meitar/clickjane,N/A,Download Error,,
117,onp,https://github.com/cubicdaiya/onp,https://www.virustotal.com/gui/file/990511cd320d56cf40e8d9d11c2e80a86c8487a1db81875315ab714b98df85ca/detection/,[0/52],,
118,hostout,https://github.com/macagua/hostout,N/A,Download Error,,
119,yard,https://github.com/lsegal/yard,https://www.virustotal.com/gui/file/e58596098bb05d9b5a644f415f3ae98c648593a795a744aaf55158e2363d0a91/detection/,[0/59],,
120,tilda,https://github.com/rmm5t/tilda,N/A,Download Error,,
121,jquery,https://github.com/rmm5t/jquery,N/A,Download Error,,
122,sixarm_icons_favicons,https://github.com/SixArm/sixarm_icons_favicons,https://www.virustotal.com/gui/file/0162fdbd8f0fd583b92c1edddc3392d14950bf61c44abe51bb7466164e165aa8/detection/,[0/58],,
123,Github,https://github.com/chorny/Github,N/A,Download Error,,
124,GLM,https://github.com/JuliaStats/GLM,N/A,Download Error,,
125,basic,https://github.com/sleepymustache/basic,https://www.virustotal.com/gui/file/6c553fed7bede7c99dd316c3972f34f29653424c58db14f0551cebdf99393c27/detection/,[0/59],,
126,naev,https://github.com/naev/naev,N/A,Download Error,,
127,microweber,https://github.com/microweber/microweber,https://www.virustotal.com/gui/file/4640731e8fb286f9af4b60d1acf5068b79de469a6d529eee2e9fab412349dc47/detection/,[0/55],,
128,r,https://github.com/viking/r,N/A,Download Error,,
129,python,https://github.com/SamR1/python,N/A,Download Error,,
130,billedid,https://github.com/theill/billedid,https://www.virustotal.com/gui/file/87b6abe79985cfd1ce0173dacfee1aabca6df4400ae5b39eaf6980a84b80236e/detection/,[0/59],,
131,CafeTownsend,https://github.com/sectore/CafeTownsend,N/A,Download Error,,
132,twitter,https://github.com/horgh/twitter,N/A,Download Error,,
133,zppalghar,https://github.com/jitendrashahiitb/zppalghar,https://www.virustotal.com/gui/file/ebcfc628b3b15a4e2b0da250ec156444d6b6ef7355f62de01ac0d32a75677d61/detection/,[0/58],,
134,underscore,https://github.com/busterc/underscore,N/A,Download Error,,
135,ObjectiveCanvas,https://github.com/huang2002/ObjectiveCanvas,N/A,Download Error,,
136,deeper,https://github.com/jaron/deeper,N/A,Download Error,,
137,tmux,https://github.com/tony/tmux,https://www.virustotal.com/gui/file/569bbf694ff6c55141210f410ec92f3db77629d81ff9a4c130b12951fee1a851/detection/,[0/58],,
138,antlr4,https://github.com/antlr/antlr4,https://www.virustotal.com/gui/file/0a90416adfe8be465310e72f72afd17228c3710b6976f07470a28ef8c807a23a/detection/,[0/58],,
139,uptimes,https://github.com/davep/uptimes,N/A,Download Error,,
140,Mantle,https://github.com/caseywatson/Mantle,https://www.virustotal.com/gui/file/40ce65e21f8f955ca6151a9d924de7f2aa9e5d36ecfb1fbc712c8a4a00cabdb3/detection/,[0/57],,
141,GPK_RePack,https://github.com/GoneUp/GPK_RePack,https://www.virustotal.com/gui/file/c1a04f5259203dc56cca4d0f68f1fabc1ccf8f3d1f3c06580bf80b56b8d20992/detection/,[0/58],,
142,ember,https://github.com/Addepar/ember,N/A,Download Error,,
143,Unreal,https://github.com/EliotVU/Unreal,N/A,Download Error,,
144,mugene,https://github.com/atsushieno/mugene,https://www.virustotal.com/gui/file/a378fbf801784417861de321f84007bdd3395878514ef4b34b8e5d3c94e5ec88/detection/,[0/57],,
145,dotfiles,https://github.com/jgarber623/dotfiles,https://www.virustotal.com/gui/file/2dcdbadb26dcbae755d5022d205013c460c7705c5dcff60c335c687f03d6b293/detection/,[0/58],,
146,db_content,https://github.com/osteele/db_content,https://www.virustotal.com/gui/file/e9f5db2105973e68326e06adee4eed04b2c1cb104154500391f72793d92f8e58/detection/,[0/58],,
147,cloudera,https://github.com/sukhchander/cloudera,N/A,Download Error,,
148,sixarm_ruby_commander,https://github.com/SixArm/sixarm_ruby_commander,https://www.virustotal.com/gui/file/66946aab4a85db21177658fc492065a9a25d3628f40ccb18b76c8afe898d79a2/detection/,[0/57],,
149,tweettening,https://github.com/leandroh/tweettening,https://www.virustotal.com/gui/file/ae0e44bd5f66c529d17824c711bfa757faf991b26f711d2307da4ff7f41a96ca/detection/,[0/58],,
150,JsBarcode,https://github.com/lindell/JsBarcode,https://www.virustotal.com/gui/file/3ab1947c2149d357ee1922c4d72a968a67ac1cb289d1ba244ee71185976e7c0f/detection/,[0/57],,
151,bitcoinjs,https://github.com/bitcoinjs/bitcoinjs,N/A,Download Error,,
152,normalize_country,https://github.com/sshaw/normalize_country,https://www.virustotal.com/gui/file/57c1138d71fe127894c93129df4f02b106714e7993bc99c314769ac414c98bcc/detection/,[0/58],,
153,dotfiles,https://github.com/bkudria/dotfiles,https://www.virustotal.com/gui/file/e5db52efc59519696ce128fa9dc17c88908ea6fd3774474bd537d426dd002d92/detection/,[0/58],,
154,csla,https://github.com/MarimerLLC/csla,https://www.virustotal.com/gui/file/0fac44b338447c338eb96a2f30987d9080e1fe271539656a21c709f473c93dfd/detection/,[0/58],,
155,godpaper,https://github.com/yangboz/godpaper,https://www.virustotal.com/gui/file/4840310adc6ed6e57ce6fc03331994cd80698a562f159020e2873dc2b9d3a786/detection/,[0/52],,
156,snuggsi,https://github.com/devpunks/snuggsi,https://www.virustotal.com/gui/file/3cdb7253de0ac875d7749859260997c1d18fe924469d8657c4a8979e2c5ba44a/detection/,[0/58],,
157,Invoke,https://github.com/nightroman/Invoke,N/A,Download Error,,
158,allspeak,https://github.com/jpscaletti/allspeak,https://www.virustotal.com/gui/file/4925826e68003dbf95e63d85be761444a063a9f5fdc743e2de1332708978cf51/detection/,[0/59],,
159,HNC,https://github.com/nponeccop/HNC,https://www.virustotal.com/gui/file/b1c65761f0d9a6018d7d7e127933344006f379bcb074539cf47beb579d61f676/detection/,[0/57],,
160,hashmap,https://github.com/flesler/hashmap,https://www.virustotal.com/gui/file/74d111e101e45dd42283c962446477b81a8fa12e7faf67ca301746357e8f45a6/detection/,[0/58],,
161,ProceduralMesh,https://github.com/mortennobel/ProceduralMesh,https://www.virustotal.com/gui/file/cf5acb1c525e0457aa21dc0e5bd7bf0de8526c3fcc9de8d2e2d5a33c31513d69/detection/,[0/58],,
162,josh,https://github.com/itspriddle/josh,N/A,Download Error,,
163,pyodbc,https://github.com/mkleehammer/pyodbc,https://www.virustotal.com/gui/file/04beef16d3d40eeff634918d505b3eb1d72e9ddc1fc01a6566cdc0f00624ea9e/detection/,[0/58],,
164,net_gearman,https://github.com/brianlmoon/net_gearman,https://www.virustotal.com/gui/file/66daafe4b8e98f5512f1c63e1fc9c79b774717fed64db30dbf9a21088c4af31d/detection/,[0/52],,
165,erpnext,https://github.com/frappe/erpnext,https://www.virustotal.com/gui/file/58cca89242d9aea6cb236067bd096f2f54b97a76a3404ad3548993ec788c1094/detection/,[0/56],,
166,js,https://github.com/IndigoUnited/js,N/A,Download Error,,
167,fabric8,https://github.com/fabric8io/fabric8,https://www.virustotal.com/gui/file/e51a41501ed24369ccfce32fa4429161b8cf3d8bfff760bf17aeae76d3f50328/detection/,[0/59],,
168,npm,https://github.com/fent/npm,N/A,Download Error,,
169,monero,https://github.com/sammy007/monero,N/A,Download Error,,
170,maven,https://github.com/apache/maven,https://www.virustotal.com/gui/file/328f8530cd8ef493c3bcc7469d1c9b644c64500a1b85b5d75b89ec000d1dd38b/detection/,[0/58],,
171,multipletab,https://github.com/piroor/multipletab,https://www.virustotal.com/gui/file/4235490c09464aeea720c9b2d1c81ad1e01a16ea57a9d86799342fc90d158d53/detection/,[0/59],,
172,jstoxml,https://github.com/davidcalhoun/jstoxml,https://www.virustotal.com/gui/file/cee71fad9e1c0418dcae5e738a1769c5d5e507ab2c075cdcfb9f355f07e762ce/detection/,[0/59],,
173,samuelpepys,https://github.com/philgyford/samuelpepys,N/A,Download Error,,
174,milpon,https://github.com/mootoh/milpon,https://www.virustotal.com/gui/file/4236ac5dad7ddb557d1512feed14e663df7e1ca31cdd188ea4d14640b77e1f66/detection/,[0/57],,
175,KnpSnappyBundle,https://github.com/KnpLabs/KnpSnappyBundle,https://www.virustotal.com/gui/file/2efa26c0cf6fdbd94e3e987c56dba34e55fd5b96e11218c1f8f9b9378d1f944a/detection/,[0/57],,
176,jabberstatus,https://github.com/Floppy/jabberstatus,https://www.virustotal.com/gui/file/b1f60a8f885328f6565d51a76cc038e0788b76997ead1528b1a713b7625ac217/detection/,[0/58],,
177,jackrabbit,https://github.com/apache/jackrabbit,N/A,Download Error,,
178,synchrotron,https://github.com/rgrove/synchrotron,https://www.virustotal.com/gui/file/c6d9bb31e3a8eaffad923722f80f603193c67185c51556db65a0bc16b536bd52/detection/,[0/57],,
179,qpid,https://github.com/apache/qpid,N/A,Download Error,,
180,aspnetboilerplate,https://github.com/aspnetboilerplate/aspnetboilerplate,https://www.virustotal.com/gui/file/9b481884030e903e687001199f33afcbad427f7291bc6ad7d44b944c805812fb/detection/,[0/50],,
181,urleen,https://github.com/bjjb/urleen,https://www.virustotal.com/gui/file/ffcad50e45ff2e8e642fd18d637351c79abc3b7ad75e88ed3c89e3f0d0093a6d/detection/,[0/59],,
182,pwned,https://github.com/nurettin/pwned,https://www.virustotal.com/gui/file/39b5100fcae48fedc80b826117dd03f5075cad325e1c20be1932988032141855/detection/,[0/58],,
183,servicemix3,https://github.com/apache/servicemix3,N/A,Download Error,,
184,clj,https://github.com/duck1123/clj,N/A,Download Error,,
185,eslint,https://github.com/eslint/eslint,https://www.virustotal.com/gui/file/bd17fb8c1fb561e48ba0eba5f5fe067e4e1d29f6be28dfa8b0536e7309320d68/detection/,[0/56],,
186,words,https://github.com/ancientlore/words,https://www.virustotal.com/gui/file/bf3caa971c630fe9a42dbff8600016c3a789fcc60b88b571bdea3bffc602fe8b/detection/,[0/58],,
187,py2pack,https://github.com/openSUSE/py2pack,https://www.virustotal.com/gui/file/44b8df8255db3c9f7fbfddb39710b74105e28e9e7bd60ef05c0ba1615c579a1c/detection/,[0/59],,
188,dotfiles,https://github.com/izumin5210/dotfiles,https://www.virustotal.com/gui/file/e003c55cbaaf138755b92e339868907d997a0088bbfbccc3afe5b091e70c8a44/detection/,[0/58],,
189,mobiscroll,https://github.com/acidb/mobiscroll,https://www.virustotal.com/gui/file/53691604c8e9edca06aacdf034551052851bac950e9afb5eba8b9df8d90d6176/detection/,[0/59],,
190,jmeter,https://github.com/jmibanez/jmeter,N/A,Download Error,,
191,gradle,https://github.com/bmuschko/gradle,https://www.virustotal.com/gui/file/f50c73878649f3a697f879b038f0a0c9b705d76470b8ce34e75464f8ddb55c4b/detection/,[1/58],,
192,cannula,https://github.com/rmyers/cannula,https://www.virustotal.com/gui/file/b73a869aaa50e8eac26676598bdcdf11e466d6832f90b00bc8be56753f70934f/detection/,[0/58],,
193,django,https://github.com/jamesturk/django,N/A,Download Error,,
194,mindboggle,https://github.com/nipy/mindboggle,https://www.virustotal.com/gui/file/5b365019eef80c51469ab82c880cd5a24e3be19af964273f887070da1706fff3/detection/,[1/58],,
195,mixin,https://github.com/jonschlinkert/mixin,N/A,Download Error,,
