Project_id,Project name,Project link,VT link,VT detection result,Propogation link,Propogation method
39,Winston,https://github.com/JuliaGraphics/Winston,N/A,Download Error,
40,kickstart,https://github.com/Dreamseer/kickstart,https://www.virustotal.com/gui/file/127c799f40025a5fdb8045b49358764f34c0be4d54f294d7ab0032b600f46f37/detection/,[1/58],
41,deform,https://github.com/Pylons/deform,https://www.virustotal.com/gui/file/a577c6e9a7c37d4259d9f98e7f11f23778ceb9377f65e8702a6aeba625fdcdfc/detection/,[0/56],
42,hue,https://github.com/cloudera/hue,https://www.virustotal.com/gui/file/43fabb5e45936c14380c5d723515bd51ad1b0faa482ec6d850995c3e301ebc5f/detection/,[0/41],
43,Tera,https://github.com/neowutran/Tera,https://www.virustotal.com/gui/file/92b91fda94d1f24db64611c1074194438f958832a8679f03203ba3a59e530639/detection/,[0/58],
44,Phoenix,https://github.com/wxWidgets/Phoenix,https://www.virustotal.com/gui/file/bd6bbd615d793b329efd0c7506d85a77d17ddf01be01a3c7ca2979317f4effbf/detection/,[1/58],
45,mathmap,https://github.com/schani/mathmap,https://www.virustotal.com/gui/file/a665b0c43d3063f3a1dd36b9de789e0378a8d5dcff055ac70e4270be40d43842/detection/,[0/55],
46,premailer,https://github.com/premailer/premailer,https://www.virustotal.com/gui/file/b1a18af6c61da5ce0a28fc1f81cccb06d7567fdb3a7ce1b53f1bb050b8429410/detection/,[0/58],
47,polylang,https://github.com/hoymultimedia/polylang,https://www.virustotal.com/gui/file/85a556e34b0378404ba216584dea83ce1895c8265bf96bd0a3f8c5127fba9297/detection/,[0/58],
48,ofbiz,https://github.com/apache/ofbiz,N/A,Download Error,
49,acf,https://github.com/wordplate/acf,https://www.virustotal.com/gui/file/fbf93a931412c2446f03d24814854515fb5314442768f46a9e7bdcdedcf46aa6/detection/,[0/59],
50,mongo,https://github.com/mongodb/mongo,https://www.virustotal.com/gui/file/04e0384b9f68c8c40c1d2d2bb3fefcd9f6642a47914c2999fbdbf5218d138378/detection/,[0/58],
51,Telegram,https://github.com/DrKLO/Telegram,https://www.virustotal.com/gui/file/b6416824bd7595d83f966efe66f17e51ab1173aaff900c9499b9ed6abe9e37b5/detection/,[0/56],
52,wowstat,https://github.com/arzynik/wowstat,https://www.virustotal.com/gui/file/263cf19964f68fec44e3386e744b74754aa6e48792733054fcc34742ae63afdc/detection/,[0/56],
53,SI1P1,https://github.com/vomindoraan/SI1P1,N/A,Download Error,
54,raygun4net,https://github.com/MindscapeHQ/raygun4net,https://www.virustotal.com/gui/file/0d6eb642b4df760788ebd81a2e92ed0f582a96b2e8c3f34a017d94d3172be954/detection/,[0/58],
55,thesemicolon,https://github.com/shreyans29/thesemicolon,https://www.virustotal.com/gui/file/53729f8449142d23056abacd850bae0cd8b64e8cf7eccdd9733872ffdc8a2ec1/detection/,[0/58],
56,haskell,https://github.com/marchdown/haskell,N/A,Download Error,
57,beakerx,https://github.com/twosigma/beakerx,https://www.virustotal.com/gui/file/f2c7ef9a04d2dc15db280ee64e8aa4ee117c5bc7a6612fa3a7cde0f2c39b374b/detection/,[0/53],
58,c,https://github.com/fragglet/c,N/A,Download Error,
59,bitbank,https://github.com/zapnap/bitbank,https://www.virustotal.com/gui/file/de9407ae27172a0e2a3d00f0b3096a287eb3e709f0ddedfe915de8481739f1ee/detection/,[0/53],
60,ezfeature,https://github.com/marketplace/ezfeature,N/A,Download Error,
61,house,https://github.com/bradyhouse/house,N/A,Download Error,
62,roblabs,https://github.com/roblabs/roblabs,N/A,Download Error,
63,jquery,https://github.com/osteele/jquery,N/A,Download Error,
64,atom,https://github.com/atom/atom,https://www.virustotal.com/gui/file/24bc86e9cefaab05b6cfc4945d64028d245080a01bb67a79c2e6af34776e2c3b/detection/,[0/55],
65,spacevim,https://github.com/krlex/spacevim,https://www.virustotal.com/gui/file/161db8a4495db23f7387c70274c3de2739226b84dd01095161c3198786591c69/detection/,[0/55],
66,ios,https://github.com/xamarin/ios,N/A,Download Error,
67,tig,https://github.com/jonas/tig,https://www.virustotal.com/gui/file/1f300d417d7f1aae2b8df8aba5a873cbcf8a902fa20088472858b021c9ae61fd/detection/,[0/57],
68,twurl,https://github.com/twitter/twurl,https://www.virustotal.com/gui/file/5bb53d772c65706efaaf30f30b51215073e5ac2d62a8c391f91ddd3f4c5224a0/detection/,[0/58],
69,libpandoc,https://github.com/ShabbyX/libpandoc,https://www.virustotal.com/gui/file/5ff16e6dcf30eac8f7616d23cbdd32e76591f4294ecc35094a2c200c68436700/detection/,[0/57],
70,hot,https://github.com/jcosentino11/hot,N/A,Download Error,
71,diasql,https://github.com/fitorec/diasql,https://www.virustotal.com/gui/file/ded0964269eef4b75fbb9cf2e1687c2958eb40bafc469f3a63ba688359cf5639/detection/,[0/58],
72,TerrainGenerator,https://github.com/azarus/TerrainGenerator,https://www.virustotal.com/gui/file/2cd3f196b1aa96fb844b8f0803017f8caf6a4ec9d4a602f32450683c35344296/detection/,[0/57],
73,cl,https://github.com/metawilm/cl,N/A,Download Error,
74,ajenti,https://github.com/ajenti/ajenti,https://www.virustotal.com/gui/file/acd48c621f38f8476364f359cc22be7d957112a0f6c112b60e84231530f1014f/detection/,[0/59],
75,Library,https://github.com/johnmichel/Library,N/A,Download Error,
76,java,https://github.com/lkuza2/java,N/A,Download Error,
77,kuma,https://github.com/mdn/kuma,https://www.virustotal.com/gui/file/2d82b1695e1de16f84c7e85b8b243eebafbf87b783bf9785c4b66434f48ed4ae/detection/,[1/57],
78,shedskin,https://github.com/shedskin/shedskin,https://www.virustotal.com/gui/file/51a204ed899651902bc0f175212e6564e09ef81747808ee2d0d1e4fb5a09ecb0/detection/,[0/57],
79,gitweb,https://github.com/kogakure/gitweb,N/A,Download Error,
80,posh,https://github.com/dahlbyk/posh,N/A,Download Error,
81,css,https://github.com/neocotic/css,N/A,Download Error,
82,MPI,https://github.com/JuliaParallel/MPI,N/A,Download Error,
83,twitteroauth,https://github.com/abraham/twitteroauth,https://www.virustotal.com/gui/file/101fd5aa9dc869ebfec99d8525cd5f94671ed4a0ee6a00cd67f6d5db2fdd00ea/detection/,[0/58],
84,dotfiles,https://github.com/tacahiroy/dotfiles,https://www.virustotal.com/gui/file/2cae1a824f5428c5fcca0096aa761da720e3c00f8b08f23c55bd16a481550ffd/detection/,[0/58],
85,Monitoring,https://github.com/sni/Monitoring,N/A,Download Error,
86,texprinter,https://github.com/cereda/texprinter,https://www.virustotal.com/gui/file/fad763d10b6517cf51d3e35f26f5ada66891d454ac34fe22d8cbc019313dbe9c/detection/,[0/59],
87,NSubstitute,https://github.com/nsubstitute/NSubstitute,https://www.virustotal.com/gui/file/da03a124f11273a6b7e9c03233233794690a2cff454b1126188b1cfbae9d109f/detection/,[0/57],
88,Helmet,https://github.com/destos/Helmet,https://www.virustotal.com/gui/file/c0adf50a475bb6adab26fd1d6e5899d7f9a39d5a26ffd109f8e547adcf955755/detection/,[0/58],
89,scalatra,https://github.com/scalatra/scalatra,https://www.virustotal.com/gui/file/d4cb59ad411883487a40471a6089ea8f97e7323c51f9a59813598b5cb4d335e5/detection/,[0/58],
90,tinyrb,https://github.com/macournoyer/tinyrb,https://www.virustotal.com/gui/file/9d366da0be24f223dfd1669b9f7f0388e4b9eddb98a8da4cee57a5ef7899b947/detection/,[0/58],
91,validatorjs,https://github.com/skaterdav85/validatorjs,https://www.virustotal.com/gui/file/b7c35bc686a2da23c6c64a898f3a8998254a05928f74ecc67b3ea3d4dfa9cbdc/detection/,[0/58],
92,backup,https://github.com/backup/backup,https://www.virustotal.com/gui/file/fd81f6ddada384a581d96b9c06ffe6aa1c8582611c8f547d33938850f907e419/detection/,[0/59],
93,medium,https://github.com/slacknation/medium,https://www.virustotal.com/gui/file/e5099b5607ab6116563171e8e4be50388461cb45339f55e5063d67e19a81c459/detection/,[0/57],
94,UEJoystickPlugin,https://github.com/tsky1971/UEJoystickPlugin,https://www.virustotal.com/gui/file/4cffe8eba84bc9942e75d056c838661a17de44cb73b042ac90b5c2835c92e1c9/detection/,[0/58],
95,scripts,https://github.com/alopatindev/scripts,https://www.virustotal.com/gui/file/e4c9c44d099baf2b2d1bd9e8f258a0897fe9c84127c96857b460fe5d49ea9fe5/detection/,[0/58],
96,Android,https://github.com/IanDarwin/Android,N/A,Download Error,
97,machine,https://github.com/machine/machine,https://www.virustotal.com/gui/file/99f6de165123892772b2dad1d26f4e6264e0639f469e3cb98eb9e35a9a17e8e4/detection/,[0/55],
98,rescached,https://github.com/shuLhan/rescached,https://www.virustotal.com/gui/file/aab53eb08359c30fdbac799325acaa7a9ecd231a53521ddf7731f9c65618440a/detection/,[0/55],
99,default,https://github.com/podrivo/default,https://www.virustotal.com/gui/file/275dbc2e99acd2dbbb4d29c419547cc67a6eb8daf52ac0a67d58dbec9a27ca8f/detection/,[0/55],
100,code,https://github.com/sheabunge/code,N/A,Download Error,
101,rdiscount,https://github.com/davidfstr/rdiscount,https://www.virustotal.com/gui/file/5c70af182507d602deea9128ee0fef78781ead35571342536f3470b76be4c9ba/detection/,[0/59],
102,dsingleton,https://github.com/dsingleton/dsingleton,N/A,Download Error,
103,jdependency,https://github.com/tcurdt/jdependency,https://www.virustotal.com/gui/file/eaab1e9750c091dfc10d3637e88c0726c5f40789b015db86bc14a0696b3d69bf/detection/,[0/58],
104,eccount,https://github.com/prayagupd/eccount,N/A,Download Error,
105,CyBerFuN,https://github.com/cybernet/CyBerFuN,N/A,Download Error,
106,collections,https://github.com/osteele/collections,N/A,Download Error,
107,flexirest,https://github.com/JacobOscarson/flexirest,https://www.virustotal.com/gui/file/d16865ea68a4f6490464c3377521024a7b00f4d9d9b202c488f9c85bcb5f3aec/detection/,[0/58],
108,PixelMap,https://github.com/McTwist/PixelMap,https://www.virustotal.com/gui/file/30c2810d478cde041ebe487a958c0c5e7425207c704f4d86b38a12e747f4dba0/detection/,[0/58],
109,gmaps,https://github.com/dotzero/gmaps,N/A,Download Error,
110,servo,https://github.com/servo/servo,https://www.virustotal.com/gui/file/5ddfbf7d27235639f328b17e6afec2ae5425b287df646182ecfd217e620f6533/detection/,[0/39],
111,GenderClassifier,https://github.com/ajomadlabs/GenderClassifier,https://www.virustotal.com/gui/file/ba790fed1f539695ece9ecef989a04b104b09007733c9742a3fda4cee085b330/detection/,[0/58],
112,AjaxFileUpload,https://github.com/davgothic/AjaxFileUpload,https://www.virustotal.com/gui/file/00c068dddaadb6f5bb398a7fa6efd4e556aeaf89030eb2f284f3c155aacb49f2/detection/,[0/59],
113,dotfiles,https://github.com/metakermit/dotfiles,https://www.virustotal.com/gui/file/0888926c0f1a7528f5ca5ef8077d23e48de0a348ace05d4bb7894c157af2db9e/detection/,[0/59],
114,django,https://github.com/jcarbaugh/django,N/A,Download Error,
115,MyPicoFaceDetectAndTrack,https://github.com/zhleternity/MyPicoFaceDetectAndTrack,https://www.virustotal.com/gui/file/e6c44c0b5495d8daeefb148fdd8fd09fefffbbec7aac6f66fe9efef8c9a6b718/detection/,[0/57],
116,clickjane,https://github.com/meitar/clickjane,N/A,Download Error,
117,onp,https://github.com/cubicdaiya/onp,https://www.virustotal.com/gui/file/990511cd320d56cf40e8d9d11c2e80a86c8487a1db81875315ab714b98df85ca/detection/,[0/52],
118,hostout,https://github.com/macagua/hostout,N/A,Download Error,
119,yard,https://github.com/lsegal/yard,https://www.virustotal.com/gui/file/e58596098bb05d9b5a644f415f3ae98c648593a795a744aaf55158e2363d0a91/detection/,[0/59],
120,tilda,https://github.com/rmm5t/tilda,N/A,Download Error,
